name,lat,lon,cbtype,cbrest,cbmarket,cbcfhs,cbdining,cbother,address,cblocal,cbfairtrade,cbvegetarian,cbcomposting,cbrecycling,cbreusable,cbencreusable,cbcoffee,cbicecream,cball,cbremove,1951,reviews,local,fairtrade,vegetarian,composting,recycling,reusable,encreusable,coffee,icecream
Aldo`s Cafe,43.0731,-89.407726,typeN,0,0,typeN,0,0,"Wisconsin Institutes for Discovery, 330 North Orchard St",typeA,typeB,typeC,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#aldo,images/local.png,images/fairtrade.png,images/vegetarian.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Babcock Hall Dairy,43.074868,-89.413766,typeP,0,0,0,0,typeP,1605 Linden Dr,typeA,typeB,typeC,0,typeE,0,typeG,typeH,typeI,typeJ,0,50,../campusfoodmap/reviews.html#babcock,images/local.png,images/fairtrade.png,images/vegetarian.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/icecream.png
Badger Market in Biochemistry,43.074196,-89.410657,typeM,0,typeM,0,0,0,"Biochemistry, 440 Henry Mall, Henry Mall Entrance",0,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#biochemistry,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Badger Market in Health Sciences Learning Center,43.077319,-89.430135,typeM,0,typeM,0,0,0,"Health Sciences Learning Center, 750 Highland Ave, 1st Floor Commons Area",0,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#healthsc,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Badger Market in Ingraham,43.075511,-89.405214,typeM,0,typeM,0,0,0,"Ingraham Hall, 1155 Observatory Dr, 1st Floor",0,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#ingraham,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Badger Market in Med Sciences,43.073845,-89.406773,typeM,0,typeM,0,0,0,"Medical Sciences, 1300 University Ave, Charter St Entrance",0,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#medsc,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Badger Market in School of Human Ecology,43.075685,-89.409394,typeM,0,typeM,0,0,0,"School of Human Ecology Building, Nancy Nicholas Hall, 1300 Linden Dr",0,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#nancy,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Badger Market in Union South,43.072079,-89.408641,typeM,0,typeM,0,0,0,"Union South, 1st Floor, 1308 W Dayton St",0,typeB,0,typeD,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#badgerus,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/composting.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Buffalo Wild Wings,43.072955,-89.398122,typeL,typeL,0,0,0,0,789 University Ave,0,typeB,0,0,typeE,typeF,0,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#buffalo,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/reusable.png,images/blankicon.png,images/coffee.png,images/blankicon.png
Capital Cafe,43.072676,-89.401165,typeL,typeL,0,0,0,0,"Grainger Hall, 1st Floor, 975 University Ave",typeA,0,typeC,typeD,typeE,typeF,0,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#capital,images/local.png,images/blankicon.png,images/vegetarian.png,images/composting.png,images/recycling.png,images/reusable.png,images/blankicon.png,images/coffee.png,images/blankicon.png
Carson`s Market,43.077146,-89.411247,typeO,0,0,0,typeO,0,"Carson Gulley Center, 1515 Tripp Cir",0,typeB,typeC,typeD,typeE,typeF,0,0,0,typeJ,0,50,../campusfoodmap/reviews.html#carsons,images/blankicon.png,images/fairtrade.png,images/vegetarian.png,images/composting.png,images/recycling.png,images/reusable.png,images/blankicon.png,images/blankicon.png,images/blankicon.png
CoffeeBytes,43.073043,-89.398902,typeN,0,0,typeN,0,0,799 University Ave,typeA,typeB,typeC,0,typeE,typeF,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#coffeebytes,images/local.png,images/fairtrade.png,images/vegetarian.png,images/blankicon.png,images/recycling.png,images/reusable.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Crossroads Cafe,43.075701,-89.402216,typeM,0,typeM,0,0,0,"School of Education, 1000 Bascom Mall, 1st Floor",0,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#crossroads,images/blankicon.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Daily Scoop at Memorial Union,43.07621,-89.399791,typeM,0,typeM,0,0,0,"Memorial Union, 1st Floor, 800 Langdon St",typeA,typeB,0,0,typeE,0,0,0,typeI,typeJ,0,50,../campusfoodmap/reviews.html#scoopus,images/local.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/icecream.png
Daily Scoop at Union South,43.072021,-89.408137,typeM,0,typeM,0,0,0,"Union South, 1st floor, 1308 W Dayton St ",typeA,typeB,0,typeD,typeE,0,0,0,typeI,typeJ,0,50,../campusfoodmap/reviews.html#scoopus,images/local.png,images/fairtrade.png,images/blankicon.png,images/composting.png,images/recycling.png,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/icecream.png
Der Rathskeller,43.07621,-89.40007,typeL,typeL,0,0,0,0,"Memorial Union, 1st Floor, 800 Langdon St",0,0,typeC,0,typeE,0,0,0,0,typeJ,0,50,../campusfoodmap/reviews.html#rathskeller,images/blankicon.png,images/blankicon.png,images/vegetarian.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/blankicon.png
E2 - Engineering Eatery,43.071782,-89.410048,typeM,0,typeM,0,0,0,"Engineering Hall, 1415 Engineering Dr, 1st Floor Student Learning Center",typeA,typeB,0,0,typeE,typeF,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#e2,images/local.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/reusable.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Elizabeth Waters Dining Room,43.076807,-89.406943,typeO,0,0,0,typeO,0,"Elizabeth Waters Hall, 1200 Observatory Dr",0,typeB,typeC,typeD,typeE,typeF,typeG,typeH,typeI,typeJ,0,50,../campusfoodmap/reviews.html#lizwaters,images/blankicon.png,images/fairtrade.png,images/vegetarian.png,images/composting.png,images/recycling.png,images/reusable.png,images/encreusable.png,images/coffee.png,images/icecream.png
F.H. King Handouts,43.072443,-89.398545,typeP,0,0,0,0,typeP,East Campus Mall,typeA,0,typeC,0,0,0,0,0,0,typeJ,0,50,../campusfoodmap/reviews.html#fhking,images/local.png,images/blankicon.png,images/vegetarian.png,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/blankicon.png
Feed Bag,43.075076,-89.420184,typeM,0,typeM,0,0,0,"School of Veterinary Medicine, 2nd Floor, 2015 Linden Dr",typeA,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#feedbag,images/local.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Four Lakes Market,43.07757,-89.418197,typeO,0,0,0,typeO,0,"Dejope Hall, 640 Elm Dr",typeA,typeB,typeC,typeD,typeE,typeF,typeG,typeH,typeI,typeJ,0,50,../campusfoodmap/reviews.html#fourlakes,images/local.png,images/fairtrade.png,images/vegetarian.png,images/composting.png,images/recycling.png,images/reusable.png,images/encreusable.png,images/coffee.png,images/icecream.png
Frank Holt Center,43.077725,-89.414477,typeO,0,0,0,typeO,0,1650 Kronshage Dr,typeA,typeB,0,0,typeE,0,typeG,typeH,typeI,typeJ,0,50,../campusfoodmap/reviews.html#frank,images/local.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/icecream.png
Ginger Root,43.071942,-89.408539,typeL,typeL,0,0,0,0,"Union South, 1st Floor, 1308 W Dayton St",typeA,0,typeC,typeD,typeE,typeF,0,0,0,typeJ,0,50,../campusfoodmap/reviews.html#ginger,images/local.png,images/blankicon.png,images/vegetarian.png,images/composting.png,images/recycling.png,images/reusable.png,images/blankicon.png,images/blankicon.png,images/blankicon.png
Gordon Dining and Event Center,43.07126,-89.398308,typeO,0,0,0,typeO,0,770 W Dayton St,typeA,typeB,typeC,typeD,typeE,typeF,typeG,typeH,typeI,typeJ,0,50,../campusfoodmap/reviews.html#gordon,images/local.png,images/fairtrade.png,images/vegetarian.png,images/composting.png,images/recycling.png,images/reusable.png,images/encreusable.png,images/coffee.png,images/icecream.png
Harvest Grains,43.071915,-89.408427,typeL,typeL,0,0,0,0,"Union South, 1st Floor, 1308 W Dayton St",typeA,0,typeC,typeD,typeE,typeF,0,0,0,typeJ,0,50,../campusfoodmap/reviews.html#harvest,images/local.png,images/blankicon.png,images/vegetarian.png,images/composting.png,images/recycling.png,images/reusable.png,images/blankicon.png,images/blankicon.png,images/blankicon.png
Highland Grounds,43.078193,-89.433962,typeM,0,typeM,0,0,0,"Waisman Center, 1st Floor, 1500 Highland Ave",typeA,typeB,0,0,typeE,0,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#highland,images/local.png,images/fairtrade.png,images/blankicon.png,images/blankicon.png,images/recycling.png,images/blankicon.png,images/encreusable.png,images/coffee.png,images/blankicon.png
Lakefront on Langdon,43.076531,-89.3994,typeL,typeL,0,0,0,0,"Memorial Union, 1st Floor, 800 Langdon St",0,0,0,typeD,typeE,0,0,0,0,typeJ,0,50,../campusfoodmap/reviews.html#lakefront,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/composting.png,images/recycling.png,images/blankicon.png,images/blankicon.png,images/blankicon.png,images/blankicon.png
Library Cafe & Bar,43.073024,-89.409304,typeL,typeL,0,0,0,0,320 N Randall Ave,typeA,typeB,typeC,0,0,typeF,typeG,typeH,0,typeJ,0,50,../campusfoodmap/reviews.html#library,images/local.png,images/fairtrade.png,images/vegetarian.png,images/blankicon.png,images/blankicon.png,images/reusable.png,images/encreusable.png,images/coffee.png,images/blankicon.png
