ID,Latitude,Longitude,AID,Attribute,Dates,Time
0,41.80989,-108.99809,Jet,Winter range,19/03/2015,12:30 AM
1,41.81293,-108.99846,Jet,Winter range,19/03/2015,3:16 AM
2,41.81706,-108.99898,Jet,Winter range,19/03/2015,6:01 AM
3,41.81557,-108.99409,Jet,Winter range,19/03/2015,8:46 AM
4,41.81675,-108.99794,Jet,Winter range,19/03/2015,11:31 AM
5,41.81821,-108.99815,Jet,Winter range,19/03/2015,2:16 PM
6,41.82145,-108.99504,Jet,Winter range,19/03/2015,5:00 PM
7,41.82178,-108.98989,Jet,Winter range,19/03/2015,7:46 PM
8,41.82187,-108.98999,Jet,Winter range,19/03/2015,10:31 PM
9,41.82181,-108.98958,Jet,Winter range,20/03/2015,1:01 AM
10,41.82185,-108.98926,Jet,Winter range,20/03/2015,3:46 AM
11,41.82212,-108.9878,Jet,Winter range,20/03/2015,6:31 AM
12,41.82024,-108.99137,Jet,Winter range,20/03/2015,9:16 AM
13,41.82088,-108.99168,Jet,Winter range,20/03/2015,12:01 PM
14,41.82098,-108.99179,Jet,Winter range,20/03/2015,2:45 PM
15,41.82184,-108.98944,Jet,Winter range,20/03/2015,5:31 PM
16,41.81875,-108.99032,Jet,Winter range,20/03/2015,8:16 PM
17,41.81722,-108.98981,Jet,Winter range,20/03/2015,11:01 PM
18,41.81713,-108.99034,Jet,Winter range,21/03/2015,1:31 AM
19,41.81638,-108.99214,Jet,Winter range,21/03/2015,4:16 AM
20,41.81574,-108.99692,Jet,Winter range,21/03/2015,7:01 AM
21,41.81589,-108.99951,Jet,Winter range,21/03/2015,9:46 AM
22,41.81657,-108.99989,Jet,Winter range,21/03/2015,12:31 PM
23,41.81641,-108.9999,Jet,Winter range,21/03/2015,3:16 PM
24,41.81678,-109.00106,Jet,Winter range,21/03/2015,6:01 PM
25,41.81494,-109.00128,Jet,Winter range,21/03/2015,8:46 PM
26,41.81554,-109.00216,Jet,Winter range,21/03/2015,11:31 PM
27,41.81602,-109.00212,Jet,Winter range,22/03/2015,2:00 AM
28,41.81593,-109.0012,Jet,Winter range,22/03/2015,4:46 AM
29,41.81826,-108.99644,Jet,Winter range,22/03/2015,7:31 AM
30,41.8204,-109.00122,Jet,Winter range,22/03/2015,10:16 AM
31,41.82041,-109.00175,Jet,Winter range,22/03/2015,1:01 PM
32,41.81899,-109.00213,Jet,Winter range,22/03/2015,3:46 PM
33,41.82162,-108.99605,Jet,Winter range,22/03/2015,6:31 PM
34,41.8217,-108.99599,Jet,Winter range,22/03/2015,9:16 PM
35,41.8216,-108.99761,Jet,Winter range,22/03/2015,11:46 PM
36,41.82026,-109.00049,Jet,Winter range,23/03/2015,2:31 AM
37,41.82041,-109.00122,Jet,Winter range,23/03/2015,5:16 AM
38,41.82111,-109.00274,Jet,Winter range,23/03/2015,8:01 AM
39,41.822,-109.00308,Jet,Winter range,23/03/2015,10:46 AM
40,41.81344,-109.00855,Jet,Winter range,23/03/2015,1:31 PM
41,41.81278,-109.0092,Jet,Winter range,23/03/2015,4:15 PM
42,41.81478,-109.00831,Jet,Winter range,23/03/2015,7:01 PM
43,41.81512,-109.00796,Jet,Winter range,23/03/2015,9:46 PM
44,41.81424,-109.00968,Jet,Winter range,23/03/2015,11:46 PM
45,41.81482,-109.00711,Jet,Winter range,24/03/2015,3:01 AM
46,41.81478,-109.00842,Jet,Winter range,24/03/2015,5:46 AM
47,41.81197,-109.01113,Jet,Winter range,24/03/2015,8:30 AM
48,41.80913,-109.01373,Jet,Winter range,24/03/2015,11:16 AM
49,41.80794,-109.01677,Jet,Winter range,24/03/2015,2:01 PM
50,41.80352,-109.01613,Jet,Winter range,24/03/2015,4:45 PM
51,41.80582,-109.00927,Jet,Winter range,24/03/2015,7:31 PM
52,41.80583,-109.00979,Jet,Winter range,24/03/2015,10:16 PM
53,41.80499,-109.00981,Jet,Winter range,24/03/2015,11:45 PM
54,41.80497,-109.01004,Jet,Winter range,25/03/2015,12:00 AM
55,41.80401,-109.01097,Jet,Winter range,25/03/2015,2:46 AM
56,41.8037,-109.01128,Jet,Winter range,25/03/2015,5:31 AM
57,41.80312,-109.01399,Jet,Winter range,25/03/2015,8:16 AM
58,41.80154,-109.01821,Jet,Winter range,25/03/2015,11:01 AM
59,41.80081,-109.01786,Jet,Winter range,25/03/2015,1:47 PM
60,41.80179,-109.01824,Jet,Winter range,25/03/2015,4:31 PM
61,41.80568,-109.01361,Jet,Winter range,25/03/2015,7:16 PM
62,41.8058,-109.01342,Jet,Winter range,25/03/2015,10:01 PM
63,41.8052,-109.01416,Jet,Winter range,26/03/2015,12:30 AM
64,41.80342,-109.01645,Jet,Winter range,26/03/2015,3:15 AM
65,41.80366,-109.01614,Jet,Winter range,26/03/2015,6:01 AM
66,41.80136,-109.01828,Jet,Winter range,26/03/2015,8:46 AM
67,41.80186,-109.02282,Jet,Winter range,26/03/2015,11:31 AM
68,41.80299,-109.02232,Jet,Winter range,26/03/2015,2:16 PM
69,41.80493,-109.01998,Jet,Winter range,26/03/2015,5:01 PM
70,41.80522,-109.01818,Jet,Winter range,26/03/2015,7:46 PM
71,41.80511,-109.01753,Jet,Winter range,26/03/2015,10:31 PM
72,41.80546,-109.01766,Jet,Winter range,27/03/2015,1:01 AM
73,41.80496,-109.01593,Jet,Winter range,27/03/2015,3:46 AM
74,41.80519,-109.01546,Jet,Winter range,27/03/2015,6:31 AM
75,41.80461,-109.01391,Jet,Winter range,27/03/2015,9:16 AM
76,41.79916,-109.02063,Jet,Winter range,27/03/2015,12:01 PM
77,41.80239,-109.02198,Jet,Winter range,27/03/2015,2:46 PM
78,41.80353,-109.02158,Jet,Winter range,27/03/2015,5:31 PM
79,41.80603,-109.01792,Jet,Winter range,27/03/2015,8:16 PM
80,41.80547,-109.01827,Jet,Winter range,27/03/2015,11:01 PM
81,41.80545,-109.01692,Jet,Winter range,28/03/2015,1:30 AM
82,41.80588,-109.01384,Jet,Winter range,28/03/2015,4:16 AM
83,41.80523,-109.01404,Jet,Winter range,28/03/2015,7:00 AM
84,41.80823,-109.01399,Jet,Winter range,28/03/2015,9:46 AM
85,41.80824,-109.01398,Jet,Winter range,28/03/2015,12:31 PM
86,41.81144,-109.01795,Jet,Winter range,28/03/2015,3:16 PM
87,41.81148,-109.02108,Jet,Winter range,28/03/2015,6:01 PM
88,41.81261,-109.01863,Jet,Winter range,28/03/2015,8:46 PM
89,41.81336,-109.01213,Jet,Winter range,28/03/2015,11:31 PM
90,41.81322,-109.01069,Jet,Winter range,29/03/2015,2:01 AM
91,41.81238,-109.01171,Jet,Winter range,29/03/2015,4:46 AM
92,41.8192,-109.00554,Jet,Winter range,29/03/2015,7:30 AM
93,41.82136,-109.00395,Jet,Winter range,29/03/2015,10:16 AM
94,41.82136,-109.00395,Jet,Winter range,29/03/2015,1:01 PM
95,41.82107,-108.99672,Jet,Winter range,29/03/2015,3:46 PM
96,41.82177,-108.99409,Jet,Winter range,29/03/2015,6:31 PM
97,41.82127,-108.99713,Jet,Winter range,29/03/2015,9:16 PM
98,41.82165,-108.99738,Jet,Winter range,29/03/2015,11:46 PM
99,41.82181,-108.9935,Jet,Winter range,30/03/2015,2:31 AM
