ID,Latitude,Longitude,TelemDate,AID,Attribute
0,41.80989,-108.99809,3/19/2015 0:30,Jet,Winter range
1,41.81293,-108.99846,3/19/2015 3:16,Jet,Winter range
2,41.81706,-108.99898,3/19/2015 6:01,Jet,Winter range
3,41.81557,-108.99409,3/19/2015 8:46,Jet,Winter range
4,41.81675,-108.99794,3/19/2015 11:31,Jet,Winter range
5,41.81821,-108.99815,3/19/2015 14:16,Jet,Winter range
6,41.82145,-108.99504,3/19/2015 17:00,Jet,Winter range
7,41.82178,-108.98989,3/19/2015 19:46,Jet,Winter range
8,41.82187,-108.98999,3/19/2015 22:31,Jet,Winter range
9,41.82181,-108.98958,3/20/2015 1:01,Jet,Winter range
10,41.82185,-108.98926,3/20/2015 3:46,Jet,Winter range
11,41.82212,-108.9878,3/20/2015 6:31,Jet,Winter range
12,41.82024,-108.99137,3/20/2015 9:16,Jet,Winter range
13,41.82088,-108.99168,3/20/2015 12:01,Jet,Winter range
14,41.82098,-108.99179,3/20/2015 14:45,Jet,Winter range
15,41.82184,-108.98944,3/20/2015 17:31,Jet,Winter range
16,41.81875,-108.99032,3/20/2015 20:16,Jet,Winter range
17,41.81722,-108.98981,3/20/2015 23:01,Jet,Winter range
18,41.81713,-108.99034,3/21/2015 1:31,Jet,Winter range
19,41.81638,-108.99214,3/21/2015 4:16,Jet,Winter range
20,41.81574,-108.99692,3/21/2015 7:01,Jet,Winter range
21,41.81589,-108.99951,3/21/2015 9:46,Jet,Winter range
22,41.81657,-108.99989,3/21/2015 12:31,Jet,Winter range
23,41.81641,-108.9999,3/21/2015 15:16,Jet,Winter range
24,41.81678,-109.00106,3/21/2015 18:01,Jet,Winter range
25,41.81494,-109.00128,3/21/2015 20:46,Jet,Winter range
26,41.81554,-109.00216,3/21/2015 23:31,Jet,Winter range
27,41.81602,-109.00212,3/22/2015 2:00,Jet,Winter range
28,41.81593,-109.0012,3/22/2015 4:46,Jet,Winter range
29,41.81826,-108.99644,3/22/2015 7:31,Jet,Winter range
30,41.8204,-109.00122,3/22/2015 10:16,Jet,Winter range
31,41.82041,-109.00175,3/22/2015 13:01,Jet,Winter range
32,41.81899,-109.00213,3/22/2015 15:46,Jet,Winter range
33,41.82162,-108.99605,3/22/2015 18:31,Jet,Winter range
34,41.8217,-108.99599,3/22/2015 21:16,Jet,Winter range
35,41.8216,-108.99761,3/22/2015 23:46,Jet,Winter range
36,41.82026,-109.00049,3/23/2015 2:31,Jet,Winter range
37,41.82041,-109.00122,3/23/2015 5:16,Jet,Winter range
38,41.82111,-109.00274,3/23/2015 8:01,Jet,Winter range
39,41.822,-109.00308,3/23/2015 10:46,Jet,Winter range
40,41.81344,-109.00855,3/23/2015 13:31,Jet,Winter range
41,41.81278,-109.0092,3/23/2015 16:15,Jet,Winter range
42,41.81478,-109.00831,3/23/2015 19:01,Jet,Winter range
43,41.81512,-109.00796,3/23/2015 21:46,Jet,Winter range
44,41.81424,-109.00968,3/23/2015 23:46,Jet,Winter range
45,41.81482,-109.00711,3/24/2015 3:01,Jet,Winter range
46,41.81478,-109.00842,3/24/2015 5:46,Jet,Winter range
47,41.81197,-109.01113,3/24/2015 8:30,Jet,Winter range
48,41.80913,-109.01373,3/24/2015 11:16,Jet,Winter range
49,41.80794,-109.01677,3/24/2015 14:01,Jet,Winter range
50,41.80352,-109.01613,3/24/2015 16:45,Jet,Winter range
51,41.80582,-109.00927,3/24/2015 19:31,Jet,Winter range
52,41.80583,-109.00979,3/24/2015 22:16,Jet,Winter range
53,41.80499,-109.00981,3/24/2015 23:45,Jet,Winter range
54,41.80497,-109.01004,3/25/2015 0:00,Jet,Winter range
55,41.80401,-109.01097,3/25/2015 2:46,Jet,Winter range
56,41.8037,-109.01128,3/25/2015 5:31,Jet,Winter range
57,41.80312,-109.01399,3/25/2015 8:16,Jet,Winter range
58,41.80154,-109.01821,3/25/2015 11:01,Jet,Winter range
59,41.80081,-109.01786,3/25/2015 13:47,Jet,Winter range
60,41.80179,-109.01824,3/25/2015 16:31,Jet,Winter range
61,41.80568,-109.01361,3/25/2015 19:16,Jet,Winter range
62,41.8058,-109.01342,3/25/2015 22:01,Jet,Winter range
63,41.8052,-109.01416,3/26/2015 0:30,Jet,Winter range
64,41.80342,-109.01645,3/26/2015 3:15,Jet,Winter range
65,41.80366,-109.01614,3/26/2015 6:01,Jet,Winter range
66,41.80136,-109.01828,3/26/2015 8:46,Jet,Winter range
67,41.80186,-109.02282,3/26/2015 11:31,Jet,Winter range
68,41.80299,-109.02232,3/26/2015 14:16,Jet,Winter range
69,41.80493,-109.01998,3/26/2015 17:01,Jet,Winter range
70,41.80522,-109.01818,3/26/2015 19:46,Jet,Winter range
71,41.80511,-109.01753,3/26/2015 22:31,Jet,Winter range
72,41.80546,-109.01766,3/27/2015 1:01,Jet,Winter range
73,41.80496,-109.01593,3/27/2015 3:46,Jet,Winter range
74,41.80519,-109.01546,3/27/2015 6:31,Jet,Winter range
75,41.80461,-109.01391,3/27/2015 9:16,Jet,Winter range
76,41.79916,-109.02063,3/27/2015 12:01,Jet,Winter range
77,41.80239,-109.02198,3/27/2015 14:46,Jet,Winter range
78,41.80353,-109.02158,3/27/2015 17:31,Jet,Winter range
79,41.80603,-109.01792,3/27/2015 20:16,Jet,Winter range
80,41.80547,-109.01827,3/27/2015 23:01,Jet,Winter range
81,41.80545,-109.01692,3/28/2015 1:30,Jet,Winter range
